,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,790,434,294,1655,458,1266,0
1,2002,691,432,248,1605,188,1167,0
2,2003,725,373,279,1669,188,1289,0
3,2004,770,423,319,1811,170,1192,0
4,2005,799,547,334,2238,184,1671,0
5,2006,985,577,457,2415,247,694,12
6,2007,939,660,461,2775,241,728,0
7,2008,1113,762,401,2782,282,1618,0
8,2009,1023,799,384,2697,210,2047,1
9,2010,1025,912,388,2905,232,2067,5
10,2011,1112,1008,465,3207,235,2320,0
11,2012,1458,1364,525,4187,304,2638,0
12,2013,1832,2067,395,4618,426,2792,0
13,2014,1978,2436,441,5543,379,3114,0
14,2015,2251,2587,356,6499,472,3605,0
